x	y
30	1097.593
30.5	1098.506
31	1125.995
31.5	1139.514
32	1162.052
32.5	1178.659
33	1194.981
33.5	1212.231
34	1238.628
34.5	1249.754
35	1264.844
35.5	1287.823
36	1293.54
36.5	1327.766
37	1334.596
37.5	1348.212
38	1367.673
38.5	1380.104
39	1404.803
39.5	1416.309
40	1429.504
40.5	1449.218
41	1477.258
41.5	1502.014
42	1509.027
42.5	1524.55
43	1534.487
43.5	1543.328
44	1575.616
44.5	1591.102
45	1602.759
45.5	1628.378
46	1630.104
46.5	1645.411
47	1672.789
47.5	1682.84
48	1701.185
48.5	1721.403
49	1735.167
49.5	1760.52
50	1779.458
50.5	1790.037
51	1824.132
51.5	1839.11
52	1845.683
52.5	1849.248
53	1877.258
53.5	1899.265
54	1921.908
54.5	1930.737
55	1953.869
55.5	1965.23
56	1987.087
56.5	1985.291
57	2006.113
57.5	2032.714
58	2054.424
58.5	2083.051
59	2082.239
59.5	2110.823
60	2119.135
60.5	2118.775
61	2144.122
61.5	2173.776
62	2170.522
62.5	2194.202
63	2209.48
63.5	2236.988
64	2263.385
64.5	2274.521
65	2292.636
65.5	2290.702
66	2324.673
66.5	2331.367
67	2353.892
67.5	2368.337
68	2390.605
68.5	2399.482
69	2411.805
69.5	2427.927
70	2458.083
70.5	2474.025
71	2492.508
71.5	2513.016
72	2526.953
72.5	2527.058
73	2554.064
73.5	2580.639
74	2594.778
74.5	2607.152
75	2614.844
75.5	2646.679
76	2663.004
76.5	2672.418
77	2700.303
77.5	2709.279
78	2728.039
78.5	2750.477
79	2766.129
	
