dur	group		
178.96	G1		
167.03	G1		
160.45	G1		
144.99	G1		
176.69	G1		
156.32	G1		
151.33	G1		
169.39	G1		
146.22	G1		
141.13	G1		
148.2	G2		
160.45	G2		
159.19	G2		
160.81	G2		
151.66	G2		
141.18	G2		
167.71	G2		
141.72	G2		
147.35	G2		
163.49	G2		
251.7	G3		
255.2	G3		
231.88	G3		
230.66	G3		
188.67	G3		
223.09	G3		
192.33	G3		
219.82	G3		
194.56	G3		
203.44	G3		
150.97	G4		
153.88	G4		
136.65	G4		
154.2	G4		
148.03	G4		
132.38	G4		
136.06	G4		
135.73	G4		
137.23	G4		
129.39	G4		
