dial sub style sex repet f0med f0sd f0sk df0meanx1000 df0sd df0sk emph f0r 
BP CD PL FL 1 93 4.68 0.06 -0.52 7.33 0.73 3.7 0.87 
BP CD PL FL 2 103 3.17 -0.17 -0.78 9.21 -1.11 7.0 0.90 
BP CD PL FL 3 102 3.67 -0.24 -0.22 9.07 -0.75 8.3 0.70 
BP DR PL FL 1 89 3.34 0.24 -0.61 6.43 0.33 1.4 0.87 
BP DR PL FL 2 91 3.06 -0.03 -0.38 8.18 -0.04 1.5 0.81 
BP DR PL FL 3 89 3.10 0.06 -0.53 5.29 -0.90 1.3 1.07 
BP MS PL FL 1 93 1.47 0.21 -0.06 3.68 0.32 1.3 0.94 
BP MS PL FL 2 93 1.72 0.13 0.03 4.28 -0.27 2.3 0.99 
BP MS PL FL 3 94 1.58 0.07 -0.06 3.34 -0.06 2.2 0.89 
BP FH PL ML 1 86 3.21 0.39 -0.05 6.41 0.47 0.4 0.68 
BP FH PL ML 2 87 3.25 0.22 0.50 6.74 1.68 0.2 0.76 
BP FH PL ML 3 87 3.04 0.37 0.35 5.25 0.65 0.3 0.98 
BP LL PL ML 1 86 2.17 0.06 0.33 2.48 1.12 2.5 0.38 
BP LL PL ML 2 86 1.83 0.19 -0.10 1.89 -0.20 3.2 0.72 
BP LL PL ML 3 87 2.51 0.05 -0.11 2.57 -0.93 3.3 0.68 
BP LL PL ML 4 86 2.70 0.17 -0.12 2.37 -1.10 4.1 0.48 
EP AD PL FL 1 96 2.12 0.06 0.13 7.52 0.80 2.0 0.91 
EP AD PL FL 2 101 2.25 -0.10 0.08 6.75 0.28 2.4 0.97 
EP AD PL FL 3 98 2.08 0.09 0.21 5.40 0.03 2.2 0.78 
EP CM PL FL 1 100 1.56 0.07 -0.08 6.40 -0.19 3.5 1.11 
EP CM PL FL 2 99 1.97 -0.12 -0.66 6.60 0.38 2.1 1.09 
EP CM PL FL 3 99 1.60 0.02 0.009 5.82 0.89 2.3 1.24 
EP HA PL FL 1 101 3.25 -0.17 -0.23 8.24 -0.22 3.1 0.82 
EP HA PL FL 2 99 2.64 -0.01 -0.35 7.09 0.26 1.9 1.00 
EP HA PL FL 3 101 2.70 -0.22 0.48 8.27 0.20 2.5 1.05 
EP FL PL ML 1 92 3.88 -0.04 0.28 8.97 1.89 1.1 0.71 
EP FL PL ML 2 94 2.93 -0.09 -0.18 7.33 0.41 1.2 0.72 
EP FL PL ML 3 94 2.54 0.07 -0.06 6.25 -0.08 1.2 0.88 
EP JS PL ML 1 96 2.52 -0.22 -0.32 5.01 -0.31 1.8 0.93 
EP JS PL ML 2 96 2.51 -0.02 -0.13 5.24 -0.11 2.7 1.04 
EP JS PL ML 3 95 2.66 -0.16 0.36 6.36 1.49 1.7 1.20 
EP PP PL ML 1 92 2.47 -0.20 -0.008 4.37 0.65 1.4 0.90 
EP PP PL ML 2 89 1.67 0.06 -0.03 2.62 -0.01 1.5 1.06 
EP PP PL ML 3 91 1.30 -0.06 0.02 3.17 -0.58 1.4 1.11 
FR MS PL FL 1 94 2.99 0.03 -0.30 4.80 0.32 0.6 0.90 
FR MS PL FL 2 95 2.60 0.14 -0.08 5.87 -0.28 1.7 0.80 
FR NM PL FL 1 95 1.68 0.02 0.09 4.73 0.10 0.6 0.81 
FR NM PL FL 2 97 2.74 -0.29 0.09 6.56 0.10 0.9 0.74 
FR SR PL FL 1 96 1.50 0.02 -0.14 5.20 2.53 3.1 0.73 
FR SR PL FL 2 95 2.10 -0.27 -0.22 3.72 0.01 4.3 0.77 
FR FH PL ML 1 89 2.48 -0.15 -0.15 6.73 0.07 1.5 0.81 
FR FH PL ML 2 89 2.09 0.21 -0.17 2.56 -0.42 1.4 1.03 
FR FH PL ML 3 88 2.64 0.07 0.18 3.49 0.60 1.2 0.69 
FR LJ PL ML 1 87 2.66 0.24 0.30 4.12 0.63 0.6 0.79 
FR LJ PL ML 2 89 2.00 0.19 0.05 3.72 1.23 1.5 0.87 
FR LJ PL ML 3 89 2.17 0.11 -0.01 5.86 0.47 2.1 1.00 
FR NS PL ML 1 90 2.37 0.02 0.08 3.76 0.28 0.5 0.78 
FR NS PL ML 2 89 2.47 0.19 0.32 4.79 -0.63 0.7 0.97 
GE G1 PL FL 1 95 2.19 -0.13 -0.24 3.12 0.57 1.6 0.94 
GE G1 PL FL 2 97 2.89 -0.25 -0.30 4.40 0.48 2.1 0.86 
GE G1 PL FL 3 97 2.51 -0.15 -0.23 5.22 -0.02 1.9 0.71 
GE G4 PL FL 1 97 3.55 -0.20 -0.24 6.64 -0.27 1.3 0.86 
GE G4 PL FL 2 96 2.67 0.03 -0.68 2.94 -0.12 2.0 0.96 
GE G4 PL FL 3 99 3.87 -0.41 -0.64 4.19 0.37 1.4 1.11 
GE G5 PL FL 1 97 1.83 -0.04 0.07 5.30 0.23 2.3 0.86 
GE G5 PL FL 2 97 1.60 -0.13 -0.21 4.80 -0.18 2.7 1.22 
GE G5 PL FL 3 97 1.71 0.16 -0.12 5.05 0.87 2.2 1.04 
GE G2 PL ML 1 87 3.26 0.27 1.01 6.30 0.83 0.9 1.07 
GE G2 PL ML 2 93 1.24 -0.10 -0.10 2.91 -0.67 1.9 1.21 
GE G3 PL ML 1 94 1.28 -0.07 0.28 3.95 -0.25 1.5 1.21 
GE G3 PL ML 2 93 1.28 0.004 0.17 4.11 0.50 1.4 1.27 
GE G3 PL ML 3 94 1.99 -0.20 -0.12 6.16 -0.18 1.5 0.97 
GE G6 PL ML 1 93 1.29 -0.13 -0.09 3.12 -1.23 1.5 1.20 
GE G6 PL ML 2 92 1.67 0.10 0.24 4.27 1.31 2.0 1.16 
GE G6 PL ML 3 93 1.72 -0.04 0.38 6.41 2.14 1.8 1.03 


