dist	dur	f0med	enfespec
1.5	100	140	9.8
1.5	50	141	11.3
1.5	144	129	13.6
1.5	62	144	5.4
1.5	116	120	9.6
1.5	48	101	7.3
3	104	159	10.8
3	56	185	11.8
3	188	150	13.3
3	76	185	7.6
3	126	126	8.3
3	50	103	10.8
7.5	94	184	13.4
7.5	50	186	11.3
7.5	176	158	15.8
7.5	72	189	7.3
7.5	135	150	8.6
7.5	45	113	10.5
15	106	222	10.5
15	72	210	11.4
15	230	180	14.1
15	88	217	6.5
15	156	183	11.2
15	40	120	13.9
25	134	226	9.1
25	69	222	9.9
25	263	193	14.2
25	131	221	6
25	158	207	9.5
25	51	126	11.5
40	162	271	11.3
40	91	263	9.5
40	257	242	12.9
40	117	262	6.6
40	249	269	7.3
40	83	160	14
3	74	169	9.1
3	50	171	10.5
3	105	154	15.3
3	30	158	6.3
3	113	137	7.7
3	64	108	8.8
1.5	91	157	8.5
1.5	43	158	8.2
1.5	115	146	10.9
1.5	51	153	6.4
1.5	163	118	6.4
1.5	68	102	10.8
7.5	96	204	6
7.5	69	204	11.8
7.5	134	190	19
7.5	52	192	5.5
7.5	136	152	10.4
7.5	40	119	10.9
15	115	226	4.1
15	76	229	12.2
15	128	218	17.5
15	35	220	3
15	144	201	8
15	34	142	11.3
25	112	226	4.1
25	70	227	12.4
25	134	218	17.2
25	38	220	3.1
25	144	201	8
25	42	142	11.1
40	129	286	2.1
40	100	283	11.1
40	159	277	11.4
40	55	274	1.3
40	195	267	1.4
40	101	154	14.5
40	166	177	16.5
40	82	204	16.8
40	189	162	20.3
40	121	179	13.3
40	137	169	14.7
40	70	114	16.9
1.5	118	104	13
1.5	47	111	9.4
1.5	157	103	12.9
1.5	91	92	11.1
1.5	58	90	6.8
3	98	103	9.9
3	45	108	7.7
3	139	103	12.4
3	45	106	10.5
3	92	93	11.7
3	72	90	6.9
7.5	66	115	13.1
7.5	39	126	13.5
7.5	154	111	17.8
7.5	85	116	11.6
7.5	84	101	12.7
7.5	46	92	8.9
15	88	136	16
15	59	149	11.1
15	126	130	18.3
15	65	135	9.3
15	111	112	12.8
15	75	93	10.6
25	130	139	13.1
25	77	157	15.4
25	169	133	19.3
25	70	142	12.3
25	127	125	15.9
25	51	95	13.4
1.5	94	138	17.9
1.5	59	155	12.8
1.5	142	137	12.8
1.5	70	152	12.2
1.5	53	112	13.2
1.5	50	96	6.4
3	101	139	17.4
3	59	155	12.8
3	109	136	14.2
3	69	152	12
3	53	113	13.2
3	52	96	6.7
7.5	173	159	11.9
7.5	76	209	16.1
7.5	271	155	16.4
7.5	73	188	15.9
7.5	145	144	16.2
7.5	73	110	15.6
15	162	206	16.1
15	113	244	15.3
15	243	209	12.4
15	71	233	11.3
15	172	181	15.6
15	87	118	17.5
25	167	219	16.6
25	126	241	13.7
25	234	217	13.5
25	101	235	10.9
25	92	222	12.5
25	112	127	19.3
40	215	264	12.1
40	132	277	10
40	319	253	14.2
40	44	263	9.9
40	200	282	10
40	74	113	14.5
