phase	order	beat
-12.42	cresc	30
10.62	cresc	30
13.5	cresc	30
14.94	cresc	30
11.88	cresc	30
1.44	cresc	30
5.76	cresc	30
1.62	cresc	30
1.26	cresc	30
15.66	cresc	30
-4.32	cresc	45
13.5	cresc	45
31.86	cresc	45
-3.51	cresc	45
-17.28	cresc	45
-10.26	cresc	45
1.35	cresc	45
12.69	cresc	45
23.76	cresc	45
17.28	cresc	45
-14.4	cresc	60
-20.52	cresc	60
-4.32	cresc	60
1.8	cresc	60
8.28	cresc	60
4.32	cresc	60
2.88	cresc	60
24.84	cresc	60
1.8	cresc	60
4.32	cresc	60
7.65	cresc	75
16.65	cresc	75
10.35	cresc	75
-11.7	cresc	75
-11.7	cresc	75
-7.65	cresc	75
-4.5	cresc	75
5.85	cresc	75
-4.5	cresc	75
-19.35	cresc	75
-12.42	cresc	90
-16.74	cresc	90
-23.22	cresc	90
-11.88	cresc	90
-5.4	cresc	90
6.48	cresc	90
21.06	cresc	90
14.04	cresc	90
16.74	cresc	90
21.06	cresc	90
-30.87	cresc	105
-45.36	cresc	105
12.6	cresc	105
20.79	cresc	105
28.98	cresc	105
32.76	cresc	105
22.05	cresc	105
18.27	cresc	105
12.6	cresc	105
13.86	cresc	105
16.56	cresc	120
12.24	cresc	120
24.48	cresc	120
33.84	cresc	120
51.12	cresc	120
73.44	cresc	120
105.84	cresc	120
114.48	cresc	120
87.84	cresc	120
64.08	cresc	120
40.5	cresc	135
39.69	cresc	135
42.12	cresc	135
13.77	cresc	135
28.35	cresc	135
34.83	cresc	135
62.37	cresc	135
53.46	cresc	135
65.61	cresc	135
72.09	cresc	135
28.8	cresc	150
15.3	cresc	150
24.3	cresc	150
17.1	cresc	150
18	cresc	150
21.6	cresc	150
39.6	cresc	150
14.4	cresc	150
56.7	cresc	150
21.6	cresc	150
93.06	cresc	165
-46.53	cresc	165
-9.9	cresc	165
3.96	cresc	165
120.78	cresc	165
4.95	cresc	165
60.39	cresc	165
51.48	cresc	165
22.77	cresc	165
5.94	cresc	165
111.24	cresc	180
-114.48	cresc	180
-93.96	cresc	180
-55.08	cresc	180
-36.72	cresc	180
-18.36	cresc	180
14.04	cresc	180
9.72	cresc	180
21.6	cresc	180
9.72	cresc	180
-94.77	cresc	195
-99.45	cresc	195
-97.11	cresc	195
-102.96	cresc	195
-111.15	cresc	195
-100.62	cresc	195
-118.17	cresc	195
162.63	cresc	195
-119.7	cresc	210
-95.76	cresc	210
41.85	cresc	225
16.2	cresc	225
-29.7	cresc	225
-6.75	cresc	225
64.8	cresc	240
37.44	cresc	240
20.16	cresc	240
28.8	cresc	240
5.76	cresc	240
-7.2	cresc	240
14.4	cresc	240
100.98	cresc	255
91.8	cresc	255
90.27	cresc	255
82.62	cresc	255
84.15	cresc	255
64.26	cresc	255
87.21	cresc	255
48.96	cresc	255
38.25	cresc	255
52.02	cresc	255
102.06	cresc	270
92.34	cresc	270
68.04	cresc	270
59.94	cresc	270
21.06	cresc	270
17.82	cresc	270
9.72	cresc	270
19.44	cresc	270
35.64	cresc	270
-9.72	cresc	270
-20.52	cresc	285
8.55	cresc	285
71.82	cresc	285
75.24	cresc	285
64.98	cresc	285
75.24	cresc	285
80.37	cresc	285
46.17	cresc	285
29.07	cresc	285
73.53	cresc	285
158.4	cresc	300
111.6	cresc	300
126	cresc	300
158.4	cresc	300
207	cresc	300
127.8	cresc	300
142.2	cresc	300
131.4	decresc	300
106.2	decresc	300
99	decresc	300
108	decresc	300
120.6	decresc	300
102.6	decresc	300
115.2	decresc	300
124.2	decresc	300
102.6	decresc	300
70.2	decresc	300
56.43	decresc	285
46.17	decresc	285
10.26	decresc	285
46.17	decresc	285
58.14	decresc	285
102.6	decresc	285
92.34	decresc	285
41.04	decresc	285
32.49	decresc	285
133.38	decresc	285
-6.48	decresc	270
