durSG	nVV	nSil	z
495	2	3	1.75
605	2	5	-0.63
1766	7	10	6.28
1273	7	10	-0.88
1929	9	10	7.72
779	5	6	1.68
1034	6	7	0.21
1363	6	6	10.61
2322	9	11	6.33
1144	7	7	0.27
811	4	6	0.2
1817	8	12	1.25
2265	7	7	10.9
1785	7	11	0.83
976	5	7	-0.02
774	4	4	0.81
519	3	4	-0.29
364	2	2	-0.13
2559	10	12	7.93
3124	9	10	28.88
1904	7	7	6.02
1266	5	6	9.45
2002	9	11	6.41
1186	5	5	4.21
1306	6	9	5.11
2361	10	12	15.36
1510	6	7	1.55
1708	8	8	8.77
2866	11	13	9
2947	10	11	9.29
1900	5	5	7.88
1128	7	9	-0.91
1064	5	9	1.49
1895	8	9	9.87
1058	6	6	1.37
770	5	5	-0.29
2192	10	10	5.9
951	4	5	0.61
1057	5	5	1.51
2757	10	12	9.57
1139	5	6	0.48
826	5	7	0.12
1494	7	8	6.14
2215	10	14	6.21
2208	9	11	22.56
2097	9	10	0.42
1963	5	6	15.92
1029	5	7	-0.18
868	5	5	0.45
1512	7	10	0.29
1194	4	5	5.16
1899	6	9	10.3
2725	8	10	18.41
1762	7	8	3.81
1553	8	9	1.53
2447	7	10	7.94
2111	8	9	6.25
2127	7	7	6.15
1393	6	6	4.99
2185	8	10	5.64
783	4	5	-0.25
3795	9	13	10.94
2019	8	9	2.4
1684	7	7	8.99
1095	5	5	3.42
1705	4	5	11.18
1776	7	12	-0.21
889	4	6	0.13
1900	7	8	8.39
3007	12	14	15.94
1689	9	9	0.21
1358	5	5	6.1
1271	7	9	-0.19
910	5	6	1.74
3247	11	11	17.37
2012	7	8	9.55
1427	6	9	4.29
1672	10	12	-0.38
1879	5	6	16.68
1381	8	10	0.24
1665	8	8	2.73
273	1	1	3.11
1161	6	8	-0.57
397	2	5	-0.41
1966	7	8	9.97
1077	4	6	6.94
2244	9	12	2.82
2231	11	13	4.77
1236	6	8	0.68
2280	6	6	11.27
2643	6	8	12.62
2057	9	12	1.44
2315	10	12	5.50
979	5	6	1.57
1592	4	4	12.86
656	4	5	-1.06
1142	7	8	1.08
1272	6	7	1.19
1400	6	8	2.90
975	5	6	-0.94
503	3	3	-0.86
1588	7	7	2.96
2586	12	14	3.40
1826	6	7	9.45
974	6	6	-0.09
1301	5	6	5.61
2004	6	11	18.14
1232	4	5	7.79
1882	8	9	5.22
2576	7	11	12.94
1254	6	9	0.54
533	3	4	0.99
1818	7	9	10.83
1120	4	4	4.30
883	4	3	3.37
2242	4	5	26.32
1420	6	6	3.50
1322	5	5	3.67
1489	6	7	3.26
2477	9	10	7.19
