Activation	Valence	Involvement
-0.33	0.5	0
-0.5	0.33	0
-0.165	0.33	0
0	0.67	0.165
0	0.33	0.33
0	0.5	0.33
-0.33	0.33	-0.5
-0.5	0.33	-0.33
0	0	-0.33
-0.33	0.33	-0.165
0	0.33	-0.165
-0.33	0	-0.67
0	0.33	0
-0.33	0.33	-1
0	-0.165	0
0.33	-0.33	0.165
0.33	-0.67	0
0.67	-0.67	0.67
0.67	-0.67	0.5
0.67	-0.67	0.67
0.67	-1	0.33
0.33	-0.33	0.33
0.33	-0.5	0.5
1	-1	1
1	-1	1
0.67	-1	0.835
0.835	-1	0.67
0.67	-0.835	0.67
1	-1	0.835
0.33	-0.67	0.835
0.33	-0.835	0.67
0.67	-1	1
1	-1	1
0.67	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
1	-1	1
0.835	-1	1
1	-1	1
0.33	-0.33	0.33
0.33	-0.33	0.67
0.67	-0.33	0.33
0.33	-0.33	0.33
0.33	-0.67	0.33
0.33	-0.33	0.67
0.67	-0.67	0.67
0.33	-0.33	0.33
0.67	-0.67	0.67
0.33	-0.165	0.33
0.67	-0.67	0.67
0	0	0
0	0.33	-0.33
-0.33	0.33	0
0	0.5	0
-0.33	0.33	0
0	0.165	0
0	0.33	0.165
-0.165	0.165	-0.5
0.33	-0.33	0.165
0.33	-0.165	0.33
0.33	-0.33	0.5
0	0	0.33
0.33	0	0.33
0.33	-0.33	0.5
0.33	0	-0.165
0.33	-0.33	0.165
0	0	0.33
0.33	0.165	0.33
0.33	-0.33	0.165
-0.5	0	-0.67
0	0.33	0.33
0	0	-0.33
0.33	-0.33	0.67
0.67	-0.5	0.33
0.67	-0.67	0.835
-0.67	0.33	-0.5
-0.5	0.67	0
-0.67	0.165	-0.33
-0.5	0.33	-0.33
-0.5	0.165	-0.5
-0.67	0	-0.33
-0.67	0.33	-0.165
-0.67	0	-0.835
-0.835	0.33	-0.67
-0.33	0.33	0
-0.67	0.33	0
-0.33	0.33	-0.33
0.33	-0.33	0.33
0	0.165	0
0.165	0.165	0.165
0	0	0
0.165	-0.33	0.33
0.33	-0.165	0.33
0	-0.33	0
0.33	-0.33	0.33
0.33	-0.33	0.5
0.165	-0.165	0.33
0.33	-0.5	0.5
0.67	-0.33	0.67
0.33	-0.5	0.33
0.67	-0.33	0.33
0.33	-0.33	0.33
0.33	-0.5	0.33
0.67	-0.5	0.67
0.5	-0.67	0.67
0.33	-0.33	0.33
0.67	-0.67	0.67
0.33	-0.67	0.67
0.67	-0.67	0.67
-0.165	0.33	0
0	0.33	-0.33
-0.165	0.33	0
-0.165	0.33	0
-0.165	0.5	0
-0.33	0.165	0
0	0.33	0.33
0.165	0.165	0.33
0	0.33	0
-0.165	0.33	0
-1	0	-0.67
-0.33	0.5	0
0	0.165	0
-0.165	0.33	0
0	-0.165	0.165
