dur	f0med
204.2169039	143
304.8981197	143
551.3016992	127
988.4735037	112
222.8314216	178
508.2120141	140
345.6658676	141
256.3056585	164
1223.899759	114
207.8731699	153
364.3375723	124
373.6821194	153
335.8940399	142
944.8684266	119
595.339977	112
921.6879216	108
331.4425019	169
334.1461956	153
1172.956491	111
473.3447399	140
171.4486048	172
637.948297	119
306.5847109	145
297.0351258	162
889.8258015	111
425.4811719	133
1070.474269	110
456.6052098	157
370.0097192	141
844.3479758	114
166.747992	140
159.3707845	114
