dur	f0med	group
204.2169039	143	1
304.8981197	143	1
551.3016992	127	1
988.4735037	112	2
222.8314216	178	1
508.2120141	140	1
345.6658676	141	1
256.3056585	164	1
1223.899759	114	2
207.8731699	153	1
364.3375723	124	1
373.6821194	153	1
335.8940399	142	1
944.8684266	119	2
595.339977	112	1
921.6879216	108	2
331.4425019	169	1
334.1461956	153	1
1172.956491	111	2
473.3447399	140	1
171.4486048	172	1
637.948297	119	2
306.5847109	145	1
297.0351258	162	1
889.8258015	111	2
425.4811719	133	1
1070.474269	110	2
456.6052098	157	1
370.0097192	141	1
844.3479758	114	2
166.747992	140	1
159.3707845	114	1
