dur	syntcoh	stress
128	s3	ox
105	s3	ox
110	s3	ox
130	s3	ox
112	s3	ox
128	s3	ox
113	s3	ox
112	s3	ox
139	s3	ox
120	s3	ox
136	s3	ox
129	s3	ox
141	s2	ox
154	s2	ox
176	s2	ox
181	s2	ox
143	s2	ox
163	s2	ox
154	s2	ox
151	s2	ox
154	s2	ox
161	s2	ox
132	s2	ox
149	s2	ox
168	s1	ox
195	s1	ox
177	s1	ox
180	s1	ox
104	s3	parox
106	s3	parox
113	s3	parox
112	s3	parox
112	s3	parox
112	s3	parox
116	s3	parox
109	s3	parox
115	s3	parox
114	s3	parox
119	s3	parox
116	s3	parox
153	s2	parox
171	s2	parox
116	s2	parox
137	s2	parox
123	s2	parox
137	s2	parox
121	s2	parox
124	s2	parox
131	s2	parox
138	s2	parox
134	s2	parox
192	s1	parox
194	s1	parox
179	s1	parox
150	s1	parox
175	s1	parox
159	s1	parox
138	s1	parox
172	s1	parox
