dial sub style sex repet f0med f0sd f0sk df0meanx1000 df0sd df0sk emph f0r 
BP LW JN FL 1 92 2.71 0.25 -0.20 4.61 0.25 3.1 0.92 
BP LW JN FL 2 93 2.74 0.22 -0.17 6.16 0.14 4.0 0.78 
BP LW JN FL 3 93 2.21 0.14 -0.55 4.58 -0.35 3.6 0.80 
BP RL JN FL 1 96 1.89 0.10 0.87 6.25 -0.16 2.6 1.12 
BP RL JN FL 2 95 2.19 0.08 -0.32 5.92 0.42 3.2 1.00 
BP RL JN FL 3 95 2.05 0.14 -0.62 5.28 0.57 2.6 1.10 
BP SL JN FL 1 92 3.89 -0.14 0.53 5.59 -0.78 2.9 1.07 
BP SL JN FL 2 93 4.53 -0.007 -0.12 8.78 -0.15 3.3 0.87 
BP SL JN FL 3 94 3.12 0.03 0.05 8.01 0.47 3.4 0.97 
BP BC JN ML 1 87 2.90 0.23 -0.06 7.96 0.82 1.2 0.95 
BP BC JN ML 2 89 3.85 0.10 -0.72 7.20 -0.88 0.6 0.67 
BP BC JN ML 3 88 3.24 0.11 0.03 4.84 -0.39 0.8 0.76 
FR F2 JN FL 1 95 1.46 -0.01 -0.13 4.49 -0.09 1.7 1.29 
FR F2 JN FL 2 95 1.63 -0.08 0.16 4.22 0.56 1.5 1.15 
FR F2 JN FL 3 95 1.73 -0.01 -0.02 5.30 0.26 1.1 1.16 
FR F2 JN FL 4 95 1.61 -0.08 -0.17 3.75 0.12 1.3 1.14 
FR F3 JN FL 1 95 2.20 0.07 0.15 5.37 0.31 0.9 1.32 
FR F3 JN FL 2 94 2.09 -0.04 -0.11 3.98 0.98 0.9 1.26 
FR F3 JN FL 3 94 1.99 0.17 -0.05 5.72 0.52 1.1 1.32 
FR F3 JN FL 4 95 2.04 0.15 0.11 4.88 -0.21 1.3 1.04 
FR F4 JN FL 1 93 1.26 -0.04 -0.06 3.44 -0.16 0.6 1.15 
FR F4 JN FL 2 93 1.56 -0.05 -0.16 3.05 0.06 0.5 1.13 
FR F4 JN FL 3 93 1.43 -0.19 -0.24 2.89 -0.58 0.8 1.25 
FR F1 JN ML 1 89 3.00 0.005 0.05 3.99 -0.70 0.8 0.99 
FR F1 JN ML 2 89 2.90 0.13 -0.08 8.70 0.63 0.8 1.01 
FR F1 JN ML 3 88 2.52 -0.04 0.05 3.42 -0.51 0.8 1.22 
FR F1 JN ML 4 86 2.28 0.28 0.06 3.65 -0.41 0.7 0.82 
FR F5 JN ML 1 88 2.56 0.13 0.02 5.53 0.35 0.5 1.20 
FR F5 JN ML 2 89 2.16 -0.01 -0.26 2.84 0.08 0.4 1.04 
FR F5 JN ML 3 89 2.19 -0.09 0.09 3.82 0.30 0.4 1.08 
FR F6 JN ML 1 88 2.46 0.07 0.07 3.96 -0.02 0.5 1.08 
FR F6 JN ML 2 87 2.78 0.14 0.05 4.57 -0.39 0.5 1.31 
FR F6 JN ML 3 86 2.64 0.36 0.13 4.30 0.57 0.5 0.90 
BP CD PL FL 1 93 4.68 0.06 -0.52 7.33 0.73 3.7 0.87 
BP CD PL FL 2 103 3.17 -0.17 -0.78 9.21 -1.11 7.0 0.90 
BP CD PL FL 3 102 3.67 -0.24 -0.22 9.07 -0.75 8.3 0.70 
BP DR PL FL 1 89 3.34 0.24 -0.61 6.43 0.33 1.4 0.87 
BP DR PL FL 2 91 3.06 -0.03 -0.38 8.18 -0.04 1.5 0.81 
BP DR PL FL 3 89 3.10 0.06 -0.53 5.29 -0.90 1.3 1.07 
BP MS PL FL 1 93 1.47 0.21 -0.06 3.68 0.32 1.3 0.94 
BP MS PL FL 2 93 1.72 0.13 0.03 4.28 -0.27 2.3 0.99 
BP MS PL FL 3 94 1.58 0.07 -0.06 3.34 -0.06 2.2 0.89 
BP FH PL ML 1 86 3.21 0.39 -0.05 6.41 0.47 0.4 0.68 
BP FH PL ML 2 87 3.25 0.22 0.50 6.74 1.68 0.2 0.76 
BP FH PL ML 3 87 3.04 0.37 0.35 5.25 0.65 0.3 0.98 
BP LL PL ML 1 86 2.17 0.06 0.33 2.48 1.12 2.5 0.38 
BP LL PL ML 2 86 1.83 0.19 -0.10 1.89 -0.20 3.2 0.72 
BP LL PL ML 3 87 2.51 0.05 -0.11 2.57 -0.93 3.3 0.68 
BP LL PL ML 4 86 2.70 0.17 -0.12 2.37 -1.10 4.1 0.48 
FR MS PL FL 1 94 2.99 0.03 -0.30 4.80 0.32 0.6 0.90 
FR MS PL FL 2 95 2.60 0.14 -0.08 5.87 -0.28 1.7 0.80 
FR NM PL FL 1 95 1.68 0.02 0.09 4.73 0.10 0.6 0.81 
FR NM PL FL 2 97 2.74 -0.29 0.09 6.56 0.10 0.9 0.74 
FR SR PL FL 1 96 1.50 0.02 -0.14 5.20 2.53 3.1 0.73 
FR SR PL FL 2 95 2.10 -0.27 -0.22 3.72 0.01 4.3 0.77 
FR FH PL ML 1 89 2.48 -0.15 -0.15 6.73 0.07 1.5 0.81 
FR FH PL ML 2 89 2.09 0.21 -0.17 2.56 -0.42 1.4 1.03 
FR FH PL ML 3 88 2.64 0.07 0.18 3.49 0.60 1.2 0.69 
FR LJ PL ML 1 87 2.66 0.24 0.30 4.12 0.63 0.6 0.79 
FR LJ PL ML 2 89 2.00 0.19 0.05 3.72 1.23 1.5 0.87 
FR LJ PL ML 3 89 2.17 0.11 -0.01 5.86 0.47 2.1 1.00 
FR NS PL ML 1 90 2.37 0.02 0.08 3.76 0.28 0.5 0.78 
FR NS PL ML 2 89 2.47 0.19 0.32 4.79 -0.63 0.7 0.97 
