pglo	pglocp	FormantT Burst	Laryng
3	2	S	N	N
3	2	N	N	S
3	2	S	S	S
3	2	S	S	S
4	1	S	S	N
3	2	S	N	S
4	1	N	N	S
5	0	N	S	S
4	1	N	S	S
3	2	S	S	S
3	2	S	S	N
3	2	S	S	S
3	2	N	S	S
4	1	N	N	S
4	1	S	N	S
3	2	N	N	S
3	2	N	N	S
3	2	S	S	S
3	2	N	S	S
4	1	N	S	S
4	1	S	S	N
4	1	N	S	S
4	1	N	S	S
4	1	N	N	S
5	0	S	S	S
4	1	N	S	S
4	1	N	S	S
3	2	N	S	S
4	1	N	S	S
3	2	S	N	N
4	1	N	S	S
3	2	N	S	S
3	2	S	S	S
4	1	N	S	N
3	2	S	S	S
3	2	S	S	S
4	1	N	N	S
3	2	S	N	S
3	2	S	N	N
5	0	N	S	S
4	1	N	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	N
3	2	S	N	S
4	1	N	S	S
5	0	N	S	S
4	1	S	S	S
4	1	N	N	N
3	2	S	N	S
3	2	S	S	N
4	1	S	S	S
4	1	N	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	S
4	1	N	S	S
4	1	N	S	S
4	1	S	S	S
3	2	N	S	N
3	2	N	S	N
3	2	S	S	S
4	1	N	S	S
5	0	N	S	S
3	2	S	S	S
4	1	N	S	S
3	2	S	S	S
3	2	S	S	S
3	2	S	S	S
5	0	S	S	S
4	1	S	S	S
4	1	S	S	S
3	2	S	S	N
4	1	N	S	S
3	2	S	S	S
3	2	S	S	S
4	1	N	S	S
3	2	N	S	S
4	1	N	S	S
4	1	S	S	S
3	2	S	S	S
3	2	S	S	N
4	1	N	S	S
3	2	S	S	S
4	1	S	S	N
3	2	S	S	N
3	2	S	S	S
4	1	N	S	N
3	2	S	S	S
4	1	S	S	S
5	0	N	N	N
5	0	N	N	S
5	0	N	N	N
3	2	N	S	N
3	2	S	S	S
3	2	N	N	N
3	2	S	S	S
5	0	N	N	S
5	0	N	N	S
5	0	N	S	S
3	2	N	S	S
3	2	S	S	S
3	2	N	N	N
3	2	S	S	S
5	0	N	N	S
5	0	N	N	S
5	0	N	N	S
5	0	N	N	S
3	2	S	S	N
3	2	S	S	S
4	1	N	N	S
3	2	S	S	N
4	1	N	S	S
4	1	N	S	S
3	2	S	S	N
3	2	N	N	N
3	2	S	S	S
3	2	S	S	S
3	2	N	S	S
5	0	N	S	N
4	1	S	S	S
3	2	S	S	S
3	2	N	S	S
3	2	N	S	S
3	2	S	N	S
5	0	S	S	S
4	1	N	S	S
4	1	N	S	N
4	1	N	S	S
3	2	N	N	N
5	0	N	S	S
3	2	S	N	S
3	2	N	S	S
3	2	S	N	S
3	2	S	S	S
3	2	S	S	S
4	1	S	S	S
4	1	N	S	S
3	2	S	S	S
4	1	S	N	S
4	1	N	S	S
3	2	S	S	S
3	2	N	S	S
3	2	S	S	S
4	1	N	S	S
3	2	S	S	S
3	2	S	N	S
4	1	N	S	S
4	1	N	S	S
3	2	S	N	S
3	2	S	S	S
4	1	N	N	S
4	1	N	S	S
3	2	N	S	S
