vogal	dur	F1
a	117	654
a	117	670
i	156	262
O	108	607
i	88	294
O	66	585
u	82	322
a	148	714
O	118	568
i	46	951
a	119	767
i	86	313
e	86	385
O	125	587
O	160	607
a	105	701
e	94	371
u	86	325
i	51	309
i	79	321
a	100	746
O	124	557
O	117	595
E	124	580
i	81	284
u	101	307
O	105	593
a	88	708
e	152	404
e	71	428
o	143	383
e	85	447
u	74	288
e	151	396
e	180	602
a	120	662
o	152	401
i	79	308
i	55	301
E	132	563
e	94	402
a	120	622
a	162	708
a	94	691
e	93	420
a	133	828
u	81	254
O	109	592
e	132	382
i	136	299
i	62	306
o	96	417
i	92	326
i	53	312
i	92	279
O	86	584
a	118	700
O	93	567
O	163	586
e	94	375
i	149	306
i	66	327
e	70	462
u	88	346
u	54	332
O	193	570
i	83	289
E	97	569
u	47	340
u	94	365
E	54	496
u	74	321
u	84	306
a	109	596
E	108	602
i	89	286
E	71	547
e	109	419
i	120	289
a	135	678
E	84	593
O	101	621
i	99	293
o	125	412
u	120	380
i	52	346
e	142	414
E	87	558
E	86	554
O	97	577
u	90	308
u	84	357
O	106	589
i	82	293
O	152	603
E	156	571
e	75	373
u	89	288
e	130	396
u	122	303
a	108	667
o	154	405
e	84	370
u	126	302
E	88	484
E	140	545
O	76	573
u	65	314
O	93	595
u	140	328
E	86	570
E	114	579
e	106	385
E	77	591
e	80	439
i	87	283
u	79	324
e	124	431
e	186	546
o	122	407
i	45	174
u	56	294
e	137	388
i	78	290
O	89	605
e	119	389
o	113	423
O	64	560
e	68	400
a	88	743
O	60	430
i	80	276
u	128	306
O	185	585
u	56	363
O	65	613
O	83	615
O	93	621
u	75	293
E	114	568
i	90	317
i	122	293
i	80	328
u	99	269
i	105	283
a	84	711
u	35	346
i	87	294
e	92	359
u	58	400
O	86	611
O	119	607
O	112	588
E	124	603
E	139	619
i	125	312
u	86	293
u	159	275
u	107	318
a	84	623
E	80	585
O	83	610
e	105	418
u	58	306
O	95	565
E	108	564
a	100	695
i	70	1783
O	49	604
O	97	593
a	86	672
u	71	314
a	80	711
u	88	286
E	95	549
i	91	274
O	177	546
i	63	337
o	125	408
E	114	577
e	65	430
E	118	567
u	42	329
e	105	392
e	131	402
a	125	747
u	80	288
O	115	581
E	133	612
e	117	385
o	41	459
O	129	612
a	135	766
O	99	615
e	67	407
e	88	481
O	97	558
u	92	338
u	92	284
a	52	525
e	81	430
i	72	313
O	109	681
a	100	763
E	71	546
a	101	758
a	85	652
a	110	748
O	112	606
a	125	788
u	100	312
e	158	417
u	80	370
e	122	410
e	80	395
e	145	398
u	152	416
u	132	289
u	75	321
a	82	698
i	75	336
O	104	628
i	98	268
o	115	411
a	141	810
a	140	799
i	97	284
a	149	757
o	119	426
E	47	496
e	85	445
i	107	292
u	129	310
E	125	565
