cond	F1
SILVI	548
SILVI	537
SILVI	621
SILVI	787
SILVI	281
SILVI	597
SILVI	562
SILVI	836
SILVI	726
SILVI	592
SILVI	578
SILVI	678
SILVI	640
SILVI	857
SILVI	552
SILVI	827
SILVI	352
SILVI	447
SILVI	897
SILVI	362
SILVI	739
SILVI	764
SILVI	504
SILVI	468
SILVI	639
SILVI	565
SILVI	808
SILVI	774
SILVI	613
SILVI	583
SILVI	769
SILVI	466
SILVI	584
SILVI	773
SILVI	600
SILVI	941
SILVI	556
SILVI	431
SILVI	992
SILVI	484
SILVI	522
SILVI	621
SILVI	681
SILVI	813
SILVI	750
SILVI	829
SILVI	725
SILVI	801
SILVI	670
SILVI	762
SILVI	750
SILVI	800
SILVI	839
SILVI	861
SILVI	837
SILVI	773
SILVI	753
SILVI	785
SILVI	493
SILVI	697
SILVI	476
SILVI	586
SILVI	642
SILVI	744
SILVI	821
SILVI	837
SILVI	781
SILVI	883
SILVI	1000
SILVI	829
SILVI	805
SILVI	792
SILVI	828
SILVI	419
SILVI	549
SILVI	670
SILVI	488
SILVI	629
SILVI	451
SILVI	673
SILVI	611
SILVI	776
SILVI	989
SILVI	488
SILVI	568
SILVI	535
SILVI	938
SILVI	693
SILVI	650
SILVI	831
SILVI	344
SILVI	660
SILVI	740
SILVI	651
SILVI	640
SILVI	594
SILVI	921
SILVI	880
SILVI	435
SILVI	534
SILVI	555
SILVI	775
SILVI	455
SILVI	818
SILVI	789
SILVI	712
SILVI	568
SILVI	568
SILVI	585
SILVI	928
SILVI	858
SILVI	457
SILVI	490
SILVI	502
SILVI	805
SILVI	513
SILVI	726
SILVI	420
SILVI	353
SILVI	909
SILVI	851
SILVI	790
SILVI	869
SILVI	826
SILVI	769
SILVI	681
SILVI	650
SILVI	849
SILVI	697
SILVI	675
SILVI	782
HABIT	488
HABIT	497
HABIT	539
HABIT	751
HABIT	329
HABIT	387
HABIT	492
HABIT	634
HABIT	618
HABIT	507
HABIT	465
HABIT	462
HABIT	668
HABIT	850
HABIT	493
HABIT	728
HABIT	430
HABIT	416
HABIT	629
HABIT	322
HABIT	382
HABIT	632
HABIT	348
HABIT	464
HABIT	498
HABIT	635
HABIT	890
HABIT	686
HABIT	632
HABIT	617
HABIT	525
HABIT	620
HABIT	783
HABIT	846
HABIT	379
HABIT	400
HABIT	543
HABIT	729
HABIT	740
HABIT	586
HABIT	767
HABIT	590
HABIT	682
HABIT	642
HABIT	756
HABIT	630
HABIT	924
HABIT	872
HABIT	662
HABIT	756
HABIT	550
HABIT	459
HABIT	589
HABIT	361
HABIT	511
HABIT	512
HABIT	683
HABIT	903
HABIT	530
HABIT	682
HABIT	856
HABIT	916
HABIT	799
HABIT	527
HABIT	480
HABIT	590
HABIT	439
HABIT	426
HABIT	471
HABIT	710
HABIT	904
HABIT	442
HABIT	445
HABIT	408
HABIT	863
HABIT	646
HABIT	454
HABIT	854
HABIT	441
HABIT	549
HABIT	474
HABIT	418
HABIT	779
HABIT	789
HABIT	355
HABIT	466
HABIT	549
HABIT	712
HABIT	427
HABIT	896
HABIT	817
HABIT	813
HABIT	562
HABIT	661
HABIT	420
HABIT	463
HABIT	432
HABIT	320
HABIT	498
HABIT	502
HABIT	828
HABIT	400
HABIT	939
HABIT	811
HABIT	840
HABIT	779
HABIT	742
HABIT	754
HABIT	718
HABIT	636
HABIT	554
HABIT	492
HABIT	653
LAPIS	429
LAPIS	554
LAPIS	699
LAPIS	866
LAPIS	299
LAPIS	476
LAPIS	458
LAPIS	822
LAPIS	711
LAPIS	573
LAPIS	636
LAPIS	574
LAPIS	880
LAPIS	844
LAPIS	388
LAPIS	784
LAPIS	429
LAPIS	448
LAPIS	762
LAPIS	486
LAPIS	416
LAPIS	711
LAPIS	412
LAPIS	594
LAPIS	469
LAPIS	598
LAPIS	545
LAPIS	897
LAPIS	785
LAPIS	684
LAPIS	742
LAPIS	734
LAPIS	397
LAPIS	588
LAPIS	862
LAPIS	684
LAPIS	810
LAPIS	568
LAPIS	511
LAPIS	596
LAPIS	894
LAPIS	672
LAPIS	745
LAPIS	804
LAPIS	690
LAPIS	670
LAPIS	733
LAPIS	760
LAPIS	695
LAPIS	671
LAPIS	742
LAPIS	689
LAPIS	827
LAPIS	834
LAPIS	902
LAPIS	745
LAPIS	746
LAPIS	489
LAPIS	699
LAPIS	556
LAPIS	476
LAPIS	509
LAPIS	739
LAPIS	798
LAPIS	511
LAPIS	797
LAPIS	842
LAPIS	830
LAPIS	840
LAPIS	766
LAPIS	745
LAPIS	667
LAPIS	790
LAPIS	564
LAPIS	591
LAPIS	648
LAPIS	479
LAPIS	469
LAPIS	484
LAPIS	504
LAPIS	761
LAPIS	822
LAPIS	464
LAPIS	484
LAPIS	370
LAPIS	877
LAPIS	610
LAPIS	523
LAPIS	929
LAPIS	631
LAPIS	419
LAPIS	386
LAPIS	297
LAPIS	345
LAPIS	588
LAPIS	612
LAPIS	575
LAPIS	593
LAPIS	443
LAPIS	539
LAPIS	543
LAPIS	818
LAPIS	515
LAPIS	843
LAPIS	855
LAPIS	498
LAPIS	328
LAPIS	260
LAPIS	319
LAPIS	349
LAPIS	494
LAPIS	519
LAPIS	902
LAPIS	428
LAPIS	333
LAPIS	840
LAPIS	527
LAPIS	878
LAPIS	425
LAPIS	398
LAPIS	813
LAPIS	813
LAPIS	748
LAPIS	754
LAPIS	675
LAPIS	760
LAPIS	587
LAPIS	397
LAPIS	871
LAPIS	622
LAPIS	636
LAPIS	700
