cond	vogal	F1	F2
cel	a	684	1495
cel	a	783	1297
cel	a	764	1285
cel	a	826	1353
cel	a	763	1422
cel	a	732	1534
cel	a	550	1632
cel	a	841	1441
cel	a	823	1129
cel	a	725	1351
cel	a	666	1318
cel	a	688	1339
cel	a	708	1477
cel	a	715	1377
cel	a	772	1325
cel	a	679	1522
cel	a	734	1324
cel	a	791	1287
cel	a	629	1494
cel	a	602	1518
cel	a	736	1560
cel	a	666	1322
cel	a	563	1481
cel	a	770	1411
cel	a	667	1684
cel	a	784	1485
cel	a	675	1568
cel	a	694	1294
cel	a	608	1542
cel	a	744	1334
cel	a	662	1466
cel	a	791	1326
cel	a	820	1366
cel	a	802	1440
cel	a	851	1333
cel	a	749	1427
cel	a	767	1343
cel	a	490	1263
cel	a	682	1466
cel	A	681	1596
cel	A	721	1293
cel	A	723	1347
cel	A	703	1304
cel	A	660	1418
cel	A	472	1627
cel	A	527	1385
cel	A	588	1258
cel	A	676	1622
cel	A	728	1320
cel	A	449	1604
cel	A	663	1576
cel	A	739	1406
cel	A	505	1542
cel	A	581	1530
cel	A	573	1377
cel	A	552	1513
cel	A	577	1451
cel	A	718	1260
cel	A	670	1393
cel	A	591	1365
cel	A	522	1451
cel	A	540	1341
cel	A	616	1420
cel	A	603	1356
cel	A	566	1268
cel	A	452	1332
cel	A	522	1569
cel	A	472	1521
cel	A	503	1467
cel	A	634	1502
cel	A	489	1613
cel	A	357	1574
cel	A	525	1212
cel	A	610	1343
cel	A	627	1541
cel	A	481	1378
cel	A	566	1587
cel	A	509	1209
cel	A	485	1614
cel	A	631	1056
cel	A	474	1566
cel	A	473	1646
cel	A	562	1617
cel	A	526	1540
cel	A	498	1384
cel	e	468	1248
cel	e	550	1545
cel	e	458	1649
cel	e	406	1460
cel	e	424	1660
cel	e	432	1670
cel	e	555	1410
cel	e	462	1551
cel	e	460	1499
cel	e	415	1874
cel	e	502	1671
cel	e	428	1957
cel	e	444	1665
cel	e	487	1414
cel	e	505	1586
cel	e	450	1792
cel	e	487	1649
cel	e	423	1738
cel	e	404	1523
cel	e	435	1415
cel	e	418	1946
cel	e	442	1797
cel	e	470	1533
cel	e	400	1490
cel	e	424	1474
cel	e	396	1812
cel	e	449	1796
cel	eh	528	1618
cel	eh	568	1804
cel	eh	577	1599
cel	eh	574	1675
cel	eh	495	1709
cel	eh	558	1694
cel	eh	591	1639
cel	eh	502	1704
cel	eh	513	1571
cel	eh	534	1725
cel	eh	521	2005
cel	eh	595	1465
cel	eh	524	1508
cel	i	385	1936
cel	i	368	1657
cel	i	433	2100
cel	i	399	1892
cel	i	372	1851
cel	i	406	1966
cel	i	321	2463
cel	i	421	2323
cel	i	322	2074
cel	i	362	1746
cel	i	425	2574
cel	i	444	2257
cel	i	409	1939
cel	i	394	1674
cel	i	393	2649
cel	i	422	2507
cel	i	421	2503
cel	i	510	2275
cel	i	390	2472
cel	i	449	2176
cel	i	397	1819
cel	i	405	2135
cel	i	410	1580
cel	i	389	1591
cel	i	341	1763
cel	i	349	2535
cel	i	423	1447
cel	i	397	2303
cel	i	405	1469
cel	I	426	1785
cel	I	422	1518
cel	I	423	1730
cel	I	390	1850
cel	I	367	1610
cel	I	369	1744
cel	I	375	1828
cel	I	388	1344
cel	I	448	1878
cel	I	410	1604
cel	I	461	1225
cel	I	386	1708
cel	I	415	2163
cel	I	402	2204
cel	I	440	1946
cel	I	402	1144
cel	I	375	1558
cel	I	416	1914
cel	I	365	1726
cel	I	399	1975
cel	I	417	1233
cel	I	409	1621
cel	I	380	1561
cel	I	376	1869
cel	o	459	788
cel	o	512	1081
cel	o	515	1058
cel	o	485	951
cel	oh	739	1135
cel	oh	614	1052
cel	oh	672	1155
cel	oh	703	1023
cel	oh	608	1120
cel	oh	650	1297
cel	u	434	1063
cel	u	430	1191
cel	u	451	824
cel	u	450	1077
cel	u	466	999
cel	u	409	826
cel	u	380	1106
cel	u	388	1135
cel	U	426	941
cel	U	431	962
cel	U	381	748
cel	U	421	1081
cel	U	448	1019
cel	U	436	1182
cel	U	467	945
cel	U	437	1227
cel	U	413	802
cel	U	427	1046
cel	U	453	1070
cel	U	477	1098
cel	U	470	1120
cel	U	359	1243
cel	U	440	1548
cel	U	410	1370
cel	U	311	1505
cel	U	461	1043
cel	U	408	1514
cel	U	491	1441
cel	U	459	988
cel	U	488	843
cel	U	491	1025
cel	U	474	1466
cel	U	440	928
cel	U	489	996
cel	U	417	1129
cel	U	420	1489
cel	U	486	NA
cel	U	432	1323
cel	U	458	1384
cel	U	547	1286
cel	U	434	831
dir	a	630	1643
dir	a	815	1374
dir	a	753	1398
dir	a	764	1451
dir	a	778	1571
dir	a	706	1628
dir	a	485	1773
dir	a	537	1553
dir	a	781	1591
dir	a	671	1315
dir	a	671	1442
dir	a	598	1282
dir	a	641	1413
dir	a	756	1613
dir	a	409	1597
dir	a	735	1456
dir	a	786	1397
dir	a	623	1854
dir	a	719	1447
dir	a	746	1485
dir	a	594	1609
dir	a	713	1564
dir	a	695	1753
dir	a	672	1451
dir	a	544	1550
dir	a	591	1439
dir	a	765	1487
dir	a	627	1886
dir	a	756	1567
dir	a	598	1731
dir	a	674	1500
dir	a	556	1833
dir	a	753	1400
dir	a	622	1517
dir	a	671	1385
dir	a	800	1442
dir	a	702	1462
dir	a	708	1375
dir	a	737	1544
dir	a	740	1432
dir	a	461	1883
dir	a	648	1560
dir	A	600	1687
dir	A	433	1554
dir	A	674	1368
dir	A	596	1422
dir	A	660	1387
dir	A	624	1479
dir	A	375	1657
dir	A	494	1447
dir	A	568	1303
dir	A	640	1708
dir	A	723	1417
dir	A	453	1654
dir	A	659	1661
dir	A	643	1508
dir	A	477	1575
dir	A	576	1580
dir	A	574	1507
dir	A	534	1715
dir	A	559	1481
dir	A	622	1341
dir	A	640	1451
dir	A	483	1503
dir	A	536	1457
dir	A	483	1597
dir	A	515	1722
dir	A	610	1482
dir	A	603	1579
dir	A	530	1578
dir	A	438	1569
dir	A	538	1686
dir	A	376	1746
dir	A	499	1608
dir	A	611	1544
dir	A	446	1737
dir	A	395	1615
dir	A	513	1304
dir	A	601	1363
dir	A	564	1578
dir	A	457	1478
dir	A	344	1799
dir	A	496	1265
dir	A	447	1709
dir	A	587	1318
dir	A	446	1795
dir	A	439	1781
dir	A	526	1672
dir	A	504	1534
dir	A	472	2168
dir	e	445	1416
dir	e	492	1612
dir	e	441	1714
dir	e	388	1976
dir	e	516	1470
dir	e	389	1836
dir	e	380	2060
dir	e	524	1604
dir	e	478	1956
dir	e	448	1658
dir	e	385	2067
dir	e	454	1765
dir	e	384	2103
dir	e	426	1941
dir	e	449	1890
dir	e	476	1702
dir	e	362	2136
dir	e	396	1982
dir	e	451	1794
dir	e	368	1978
dir	e	374	2007
dir	e	432	1705
dir	e	385	2185
dir	e	377	1914
dir	e	386	1697
dir	e	456	1897
dir	e	370	1759
dir	e	378	1907
dir	e	382	2133
dir	e	419	1969
dir	eh	465	1691
dir	eh	511	1794
dir	eh	553	1935
dir	eh	573	1754
dir	eh	584	1825
dir	eh	502	1764
dir	eh	530	1893
dir	eh	581	1785
dir	eh	482	1870
dir	eh	513	1745
dir	eh	504	1843
dir	eh	484	2046
dir	eh	546	1620
dir	eh	475	1948
dir	i	302	2249
dir	i	336	2081
dir	i	325	2154
dir	i	255	2350
dir	i	387	2052
dir	i	313	2110
dir	i	297	2192
dir	i	286	2099
dir	i	275	2221
dir	i	317	2329
dir	i	264	2306
dir	i	287	2436
dir	i	325	2014
dir	i	337	2287
dir	i	360	2238
dir	i	325	1879
dir	i	264	2264
dir	i	188	2210
dir	i	267	2291
dir	i	321	2348
dir	i	260	2343
dir	i	278	2392
dir	i	426	2275
dir	i	360	2088
dir	i	330	2147
dir	i	366	2237
dir	i	344	2268
dir	i	375	1951
dir	i	309	2053
dir	i	280	2235
dir	i	345	2183
dir	i	299	2226
dir	i	330	2363
dir	i	342	2241
dir	I	340	2108
dir	I	406	2122
dir	I	269	2339
dir	I	341	2522
dir	I	364	1740
dir	I	329	2094
dir	I	346	1938
dir	I	296	2099
dir	I	297	2218
dir	I	342	1946
dir	I	352	1961
dir	I	293	2005
dir	I	348	2025
dir	I	406	1710
dir	I	357	1798
dir	I	359	1810
dir	I	380	2080
dir	I	359	1767
dir	I	382	1628
dir	I	323	2030
dir	I	345	2018
dir	I	333	1927
dir	I	287	2087
dir	I	286	1944
dir	I	323	2023
dir	I	345	1960
dir	I	330	2415
dir	I	320	2157
dir	I	329	1941
dir	I	314	2020
dir	I	333	2140
dir	I	357	1874
dir	I	330	1865
dir	I	322	2059
dir	o	455	1550
dir	o	444	1693
dir	o	497	1112
dir	o	637	796
