estilo	taxaeloc	taxaartic
RE	4.87	5.46
RE	4.25	4.97
RE	4.93	5.55
RE	3.98	4.2
RE	3.96	4.66
RE	3.85	4.68
RE	4.12	5.01
RE	3.36	3.9
RE	3.56	3.73
RE	3.09	4.02
ST	3.5	4.62
ST	3.96	4.85
ST	3.33	4.6
ST	3.54	4
ST	3.19	4.21
ST	3.12	3.5
ST	3.55	4.55
ST	3.35	4.19
ST	2.47	3.06
ST	3.71	4.14
RE	5.27	6.05
RE	4.62	5.69
RE	4.09	5.07
RE	4.04	5.38
RE	4.83	5.84
RE	4.36	5.28
RE	4.43	5.34
RE	4.27	5.6
RE	4.03	5.23
RE	4.91	5.65
ST	4.43	4.64
ST	4	5.12
ST	3.82	4.13
ST	4.43	5.35
ST	3.2	3.52
ST	4.51	5.35
RE	4.87	5.52
RE	4.16	4.82
RE	3.64	4.26
RE	4.1	4.83
RE	3.84	4.48
RE	3.64	4.41
RE	4.09	4.91
RE	4.39	5.07
RE	3.8	4.45
RE	3.79	4.55
ST	3.75	4.43
ST	3.57	4.3
ST	4.37	5.55
ST	3.64	4.27
ST	5	5.92
ST	3.97	4.94
ST	4.6	5.52
RE	4.55	5.26
RE	3.81	4.62
RE	3.31	4.31
RE	3	3.68
RE	4.12	4.71
RE	3.68	4.08
RE	3.59	5
RE	3.96	4.71
RE	3.66	4.6
RE	4.11	5.72
ST	3.25	3.4
ST	2.79	3.16
ST	3.42	4.37
ST	2.58	3.26
ST	3.36	4.43
RE	4.92	6.26
RE	4.54	6.1
RE	4.27	5.08
RE	4.37	6.28
RE	4.8	6.08
RE	4.24	5.61
RE	4.26	5.31
RE	4.4	6.05
RE	4.15	5.45
RE	4.02	5.23
ST	4.03	5.13
ST	3.59	4.88
ST	3.55	4.68
ST	3.52	4.85
ST	3.98	5.4
RE	5.01	5.74
RE	5	5.78
RE	4.55	5.52
RE	4.81	5.83
RE	4.38	5.53
RE	4.78	5.69
RE	4.48	5.74
RE	4.53	5.67
RE	4.51	5.99
RE	5.45	6.46
ST	3.24	4.24
ST	1.85	2.77
ST	3.72	4.82
ST	4.08	5.43
ST	3.87	5.27
ST	4.62	5.78
RE	5.55	6.83
RE	4.59	5.82
RE	4.6	5.29
RE	5.02	6.12
RE	4.76	6.15
RE	4.6	5.64
RE	4.2	5.62
RE	4.77	6.14
RE	4.86	6.03
RE	5.02	6.58
ST	3.53	4.83
ST	2.88	4.2
ST	3.96	5.56
ST	2.55	4.16
ST	3.39	4.91
ST	3.72	4.88
RE	5.37	6.1
RE	4.69	5.53
RE	4.88	5.86
RE	4.99	5.78
RE	4.61	5.8
RE	4.69	5.59
RE	4.24	5.27
RE	4.4	5.68
RE	5.13	6.01
RE	4.67	5.51
ST	3.31	3.75
ST	3.15	3.26
ST	4.01	5.08
ST	3.59	4.58
ST	4.69	5.45
ST	4.13	5.44
ST	4.08	4.78
ST	4.06	4.56
RE	4.6	5.64
RE	3.97	4.68
RE	3.99	5.06
RE	4.33	5.31
RE	4.27	5.57
RE	4.1	5.35
RE	4.85	5.88
RE	4.1	5.83
RE	4.34	5.9
RE	4.67	5.6
ST	1.67	2.04
ST	3.31	4.44
ST	3.08	3.32
ST	3.87	4.86
ST	3.54	4.47
ST	2.61	4.19
RE	4.08	5.16
RE	3.9	4.55
RE	3.57	4.44
RE	3.88	4.72
RE	3.74	4.56
RE	3.87	5.05
RE	3.99	5.09
RE	3.71	4.76
RE	3.47	4.84
RE	3.79	4.91
ST	3.12	3.5
ST	4.23	4.99
